,Area,equivalent_diameter
1,70000.0,298.54106607209235
2,205000.0,510.8953969950291
3,2740000.0,1867.7998695187732
4,37500.0,218.50968611841583
5,147500.0,433.36224206596097
6,477500.0,779.7255174810173
7,25505000.0,5698.594088761747
8,102500.0,361.25759969217836
9,140000.0,422.2008245644752
10,102500.0,361.25759969217836
11,2770000.0,1877.997214831907
12,357500.0,674.6726148605861
13,5430000.0,2629.389801439097
14,30000.0,195.44100476116796
15,250000.0,564.1895835477562
16,2052500.0,1616.5779181867238
17,52500.0,258.54414729132054
18,395000.0,709.1753098990329
19,37500.0,218.50968611841583
20,147500.0,433.36224206596097
